CombatRank,ValueRank,ShockRank,ShockValueRank,Unit,Cost,SmallArms,HP,NormalizedHP,EffectiveDPS,Suppression,NormalizedSuppression,ShockDPS,ShockSuppression,ShockNormalizedSuppression,ATScore,CombatScore,ValueScore,IsShock,ShockCombatScore,ShockValueScore
1,33,1,36,MOR. SPETSNAZ,90,13,12,0.75,0.697,141.65,1.0,1.227,166.65,1.1765,0,0.7763,0.8626,True,1.05,1.1667
2,34,2,37,SPETSNAZ,90,13,12,0.75,0.697,141.65,1.0,1.227,166.65,1.1765,0,0.7763,0.8626,True,1.05,1.1667
3,157,4,151,SAS 'G',90,12,12,0.75,0.472,86.4,0.61,0.845,121.13,0.8551,4.13,0.597,0.6634,True,0.8137,0.9042
4,278,5,251,GREEN BERETS (ODA),100,14,14,0.875,0.372,72.24,0.51,0.846,68.52,0.4837,5.4,0.5755,0.5755,True,0.7835,0.7835
5,199,17,324,LUFT.-GEBIRGSJÄGER,90,16,16,1.0,0.262,62.45,0.4409,0.505,50.78,0.3585,1.8,0.556,0.6178,False,0.6488,0.7209
6,97,8,113,ZÁLOŽNÍCI (T21),75,16,16,1.0,0.261,57.84,0.4084,0.652,57.84,0.4084,3.13,0.5489,0.7319,False,0.725,0.9666
7,95,16,131,DSh POGRANVOISKA KGB,70,12,11,0.6875,0.341,86.84,0.6131,0.643,86.84,0.6131,2.76,0.5166,0.738,False,0.6525,0.9321
8,7,35,18,MARECHAUSSEE (MG),45,12,12,0.75,0.335,72.52,0.512,0.504,72.52,0.512,0,0.5158,1.1463,False,0.5916,1.3146
309,365,147,202,PIONIER (Flam.),45,11,10,0.625,0.327,101.67,0.7177,0.642,119.61,0.8444,0,0.5093,1.1318,True,0.6766,1.5036
10,145,19,187,Alfa Group SOV,75,10,10,0.625,0.388,78.8,0.5563,0.641,95.06,0.6711,3.49,0.5048,0.6731,True,0.6413,0.8551
11,298,6,224,SPETSGRUPPA V,90,10,10,0.625,0.403,73.6,0.5196,0.813,105.41,0.7442,6.47,0.5038,0.5598,True,0.7335,0.815
12,249,28,327,MOR. PEKHOTA (PTS),85,14,14,0.875,0.247,60.2,0.425,0.523,48.53,0.3426,2.02,0.5026,0.5913,False,0.6102,0.7179
13,46,3,7,OKHRANA MVD,60,14,16,1.0,0.211,40.22,0.284,0.866,109.67,0.7742,0,0.5017,0.8361,False,0.8943,1.4905
14,213,7,138,DSh. (RPG-22),80,14,14,0.875,0.24,51.73,0.3652,0.757,60.86,0.4297,2.76,0.4874,0.6093,True,0.7326,0.9158
15,62,21,66,DSh. AFGANTSY,60,9,8,0.5,0.364,99.71,0.7039,0.703,103.58,0.7313,0,0.4797,0.7995,True,0.6375,1.0626
16,29,26,53,OKHRANA VMF,55,14,14,0.875,0.228,48.27,0.3407,0.531,48.27,0.3407,0,0.4771,0.8674,False,0.6133,1.1151
17,31,9,23,WACHSCHÜTZEN (RPO),55,11,10,0.625,0.316,80.47,0.5681,0.791,94.67,0.6683,0,0.4745,0.8628,True,0.7086,1.2883
18,6,25,5,PIONIERS (Flam.),40,10,9,0.5625,0.299,95.67,0.6754,0.588,112.55,0.7946,0,0.4663,1.1659,True,0.6204,1.5511
19,282,12,186,AERO-RIFLES (AT-4),80,13,13,0.8125,0.223,52.0,0.3671,0.703,61.17,0.4319,3.82,0.4583,0.5728,True,0.687,0.8587
20,283,36,301,USMC RIFLEMEN (AT-4),80,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,3.82,0.4583,0.5728,False,0.5915,0.7394
21,330,37,352,USMC RIFLEMEN (Dragon),85,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,1.98,0.4583,0.5391,False,0.5915,0.6959
22,211,38,244,USMC RIFLEMEN (LAW),75,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,2.39,0.4583,0.611,False,0.5915,0.7887
23,50,39,65,USAF SECURITY,55,13,13,0.8125,0.22,50.69,0.3579,0.511,50.69,0.3579,0,0.4548,0.8268,False,0.5858,1.0651
24,292,22,249,HOCHGEBIRGSJÄGER,80,11,11,0.6875,0.29,57.79,0.408,0.644,70.35,0.4966,0,0.4525,0.5656,True,0.6299,0.7874
25,171,42,219,COMMANDO,70,11,11,0.6875,0.286,57.09,0.403,0.579,50.69,0.3578,3.49,0.4498,0.6426,True,0.5726,0.818
26,410,27,411,AERO-SCOUTS (GSR),100,13,13,0.8125,0.208,50.07,0.3535,0.583,45.18,0.3189,2.39,0.4485,0.4485,True,0.6105,0.6105
27,16,43,25,K.d.A. SCHÜTZEN.,45,14,14,0.875,0.186,40.22,0.284,0.465,40.22,0.284,0.61,0.4466,0.9925,False,0.5725,1.2721
28,390,18,332,NAVY SEALS,90,9,9,0.5625,0.35,56.6,0.3995,0.723,85.41,0.6029,5.4,0.4343,0.4826,True,0.6428,0.7142
29,364,15,265,GURKHA RIFLES,85,12,12,0.75,0.222,48.8,0.3445,0.698,57.41,0.4053,4.49,0.4311,0.5072,True,0.6574,0.7735
30,106,10,35,MARINEPIONIER,60,12,12,0.75,0.232,45.33,0.32,0.765,69.02,0.4872,0,0.4307,0.7178,True,0.7041,1.1735
31,69,60,115,REZERWISCI (SVD),55,12,12,0.75,0.205,53.51,0.3778,0.462,41.84,0.2954,1.6,0.4302,0.7822,False,0.5296,0.9629
32,206,69,296,SDRA 8,70,9,10,0.625,0.275,61.88,0.4369,0.466,63.39,0.4475,0,0.43,0.6143,True,0.5181,0.7401
33,23,32,14,WACHSCHÜTZEN (STOSS),45,10,10,0.625,0.28,60.0,0.4236,0.577,86.27,0.6091,0,0.4295,0.9544,True,0.6003,1.3341
34,210,14,123,NIEBIESKIE BERETY,70,12,12,0.75,0.226,45.05,0.318,0.712,52.99,0.3741,1.57,0.4279,0.6113,True,0.6579,0.9398
35,159,46,183,RANGERS (DRAGON),65,9,9,0.5625,0.343,54.29,0.3833,0.606,63.88,0.4509,2.4,0.4278,0.6581,True,0.5597,0.8611
36,111,47,130,RANGERS (LAW),60,9,9,0.5625,0.343,54.29,0.3833,0.606,63.88,0.4509,3.01,0.4278,0.7129,True,0.5597,0.9328
37,236,11,94,MARINEPIONIER (Flam.),70,11,12,0.75,0.214,42.13,0.2974,0.706,84.17,0.5942,0,0.4185,0.5978,True,0.699,0.9986
38,174,24,117,VÝSADKÁŘI,65,10,10,0.625,0.295,46.37,0.3274,0.727,54.56,0.3852,2.86,0.4169,0.6414,True,0.623,0.9584
39,14,82,26,R.A.F. BERLIN,40,12,12,0.75,0.197,45.76,0.323,0.401,45.76,0.323,2.17,0.4157,1.0392,False,0.5074,1.2684
40,388,54,404,CRAP,85,10,10,0.625,0.261,52.55,0.371,0.569,45.35,0.3202,2.38,0.4105,0.4829,True,0.5387,0.6338
41,258,72,318,AIRMOBILE TERRIERS,70,12,12,0.75,0.197,41.76,0.2948,0.419,41.76,0.2948,1.8,0.4103,0.5862,False,0.5102,0.7288
42,53,57,64,REZERWISCI,50,12,12,0.75,0.191,41.72,0.2945,0.477,41.72,0.2945,1.46,0.4073,0.8146,False,0.5363,1.0725
44,56,31,32,SAPERI (RPO),50,9,8,0.5,0.282,73.92,0.5219,0.686,86.97,0.614,0,0.4065,0.813,True,0.6065,1.2131
44,56,31,32,SAPERI (RPO),50,9,8,0.5,0.282,73.92,0.5219,0.686,86.97,0.614,0,0.4065,0.813,True,0.6065,1.2131
45,57,121,124,HJV,50,12,12,0.75,0.171,47.06,0.3322,0.349,35.39,0.2499,2.17,0.4059,0.8118,False,0.4695,0.9391
46,445,63,441,SAS,100,8,8,0.5,0.345,52.21,0.3686,0.593,61.43,0.4337,5.4,0.4042,0.4042,True,0.5287,0.5287
