CombatRank,ValueRank,ShockRank,ShockValueRank,Unit,Cost,SmallArms,HP,NormalizedHP,EffectiveDPS,Suppression,NormalizedSuppression,ShockDPS,ShockSuppression,ShockNormalizedSuppression,ATScore,CombatScore,ValueScore,IsShock,ShockCombatScore,ShockValueScore
1,99,1,58,MOR. SPETSNAZ,90,13,12,0.75,0.697,141.65,1.0,1.227,166.65,1.1765,0,0.7763,0.8626,True,1.05,1.1667
2,100,2,59,SPETSNAZ,90,13,12,0.75,0.697,141.65,1.0,1.227,166.65,1.1765,0,0.7763,0.8626,True,1.05,1.1667
3,319,6,291,GREEN BERETS LDR.,100,12,12,0.75,0.524,79.58,0.5618,0.906,93.63,0.661,3.49,0.6107,0.6107,True,0.8023,0.8023
4,257,5,188,SAS 'G',90,12,12,0.75,0.472,86.4,0.61,0.845,121.13,0.8551,4.13,0.597,0.6634,True,0.8137,0.9042
5,396,7,313,GREEN BERETS (ODA),100,14,14,0.875,0.372,72.24,0.51,0.846,68.52,0.4837,5.4,0.5755,0.5755,True,0.7835,0.7835
6,248,4,120,AERO-ENGINEERS LDR.,85,13,12,0.75,0.355,102.29,0.7221,0.958,120.34,0.8495,0,0.5668,0.6668,True,0.8635,1.0159
7,304,19,400,LUFT.-GEBIRGSJÄGER,90,16,16,1.0,0.262,62.45,0.4409,0.505,50.78,0.3585,1.8,0.556,0.6178,False,0.6488,0.7209
8,79,797,834,SKYGUARD SWE 35mm,60,1,4,0.25,0.642,122.36,0.8638,0,0,0.0,0,0.5493,0.9155,False,0.0875,0.1458
9,80,798,835,OERLIKON GDF 005,60,1,4,0.25,0.642,122.36,0.8638,0,0,0.0,0,0.5493,0.9155,False,0.0875,0.1458
10,178,10,148,ZÁLOŽNÍCI (T21),75,16,16,1.0,0.261,57.84,0.4084,0.652,57.84,0.4084,3.13,0.5489,0.7319,False,0.725,0.9666
11,50,786,791,AERO-M167A2 PIVADS 20mm,50,1,4,0.25,0.645,105.26,0.7431,0,0,0.0,0,0.5262,1.0525,False,0.0875,0.175
12,51,787,792,M167A2 VADS 20mm,50,1,4,0.25,0.645,105.26,0.7431,0,0,0.0,0,0.5262,1.0525,False,0.0875,0.175
13,176,18,166,DSh POGRANVOISKA KGB,70,12,11,0.6875,0.341,86.84,0.6131,0.643,86.84,0.6131,2.76,0.5166,0.738,False,0.6525,0.9321
14,30,40,40,MARECHAUSSEE (MG),45,12,12,0.75,0.335,72.52,0.512,0.504,72.52,0.512,0,0.5158,1.1463,False,0.5916,1.3146
388,501,157,255,PIONIER (Flam.),45,11,10,0.625,0.327,101.67,0.7177,0.642,119.61,0.8444,0,0.5093,1.1318,True,0.6766,1.5036
16,241,21,238,Alfa Group SOV,75,10,10,0.625,0.388,78.8,0.5563,0.641,95.06,0.6711,3.49,0.5048,0.6731,True,0.6413,0.8551
17,418,8,278,SPETSGRUPPA V,90,10,10,0.625,0.403,73.6,0.5196,0.813,105.41,0.7442,6.47,0.5038,0.5598,True,0.7335,0.815
18,366,31,403,MOR. PEKHOTA (PTS),85,14,14,0.875,0.247,60.2,0.425,0.523,48.53,0.3426,2.02,0.5026,0.5913,False,0.6102,0.7179
19,116,3,29,OKHRANA MVD,60,14,16,1.0,0.211,40.22,0.284,0.866,109.67,0.7742,0,0.5017,0.8361,False,0.8943,1.4905
20,117,796,833,SKYGUARD CV 35mm,60,1,4,0.25,0.535,122.36,0.8638,0,0,0.0,0,0.5011,0.8352,False,0.0875,0.1458
21,320,9,173,DSh. (RPG-22),80,14,14,0.875,0.24,51.73,0.3652,0.757,60.86,0.4297,2.76,0.4874,0.6093,True,0.7326,0.9158
24,43,790,773,M167A1 VADS 20mm,45,1,4,0.25,0.553,105.26,0.7431,0,0,0.0,0,0.4848,1.0773,False,0.0875,0.1944
23,66,789,793,AB M167A1 VADS 20mm,50,1,4,0.25,0.553,105.26,0.7431,0,0,0.0,0,0.4848,0.9696,False,0.0875,0.175
24,43,790,773,M167A1 VADS 20mm,45,1,4,0.25,0.553,105.26,0.7431,0,0,0.0,0,0.4848,1.0773,False,0.0875,0.1944
25,67,791,794,PARA. M167A1 VADS 20mm,50,1,4,0.25,0.553,105.26,0.7431,0,0,0.0,0,0.4848,0.9696,False,0.0875,0.175
