CombatRank,ValueRank,ShockRank,ShockValueRank,Unit,Cost,SmallArms,HP,NormalizedHP,EffectiveDPS,Suppression,NormalizedSuppression,ShockDPS,ShockSuppression,ShockNormalizedSuppression,ATScore,CombatScore,ValueScore,IsShock,ShockCombatScore,ShockValueScore
1,69,1,49,SAS 'G',90,12,12,0.75,0.472,86.4,0.61,0.845,121.13,0.8551,4.13,0.597,0.6634,True,0.8137,0.9042
2,166,2,134,GREEN BERETS (ODA),100,14,14,0.875,0.372,72.24,0.51,0.846,68.52,0.4837,5.4,0.5755,0.5755,True,0.7835,0.7835
3,101,10,196,LUFT.-GEBIRGSJÄGER,90,16,16,1.0,0.262,62.45,0.4409,0.505,50.78,0.3585,1.8,0.556,0.6178,False,0.6488,0.7209
4,31,5,27,ZÁLOŽNÍCI (T21),75,16,16,1.0,0.261,57.84,0.4084,0.652,57.84,0.4084,3.13,0.5489,0.7319,False,0.725,0.9666
5,30,9,39,DSh POGRANVOISKA KGB,70,12,11,0.6875,0.341,86.84,0.6131,0.643,86.84,0.6131,2.76,0.5166,0.738,False,0.6525,0.9321
6,62,12,79,Alfa Group SOV,75,10,10,0.625,0.388,78.8,0.5563,0.641,95.06,0.6711,3.49,0.5048,0.6731,True,0.6413,0.8551
7,183,3,111,SPETSGRUPPA V,90,10,10,0.625,0.403,73.6,0.5196,0.813,105.41,0.7442,6.47,0.5038,0.5598,True,0.7335,0.815
8,143,15,199,MOR. PEKHOTA (PTS),85,14,14,0.875,0.247,60.2,0.425,0.523,48.53,0.3426,2.02,0.5026,0.5913,False,0.6102,0.7179
9,111,4,44,DSh. (RPG-22),80,14,14,0.875,0.24,51.73,0.3652,0.757,60.86,0.4297,2.76,0.4874,0.6093,True,0.7326,0.9158
10,169,6,78,AERO-RIFLES (AT-4),80,13,13,0.8125,0.223,52.0,0.3671,0.703,61.17,0.4319,3.82,0.4583,0.5728,True,0.687,0.8587
11,170,18,176,USMC RIFLEMEN (AT-4),80,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,3.82,0.4583,0.5728,False,0.5915,0.7394
12,210,19,221,USMC RIFLEMEN (Dragon),85,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,1.98,0.4583,0.5391,False,0.5915,0.6959
13,109,20,128,USMC RIFLEMEN (LAW),75,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,2.39,0.4583,0.611,False,0.5915,0.7887
14,79,22,106,COMMANDO,70,11,11,0.6875,0.286,57.09,0.403,0.579,50.69,0.3578,3.49,0.4498,0.6426,True,0.5726,0.818
15,278,14,278,AERO-SCOUTS (GSR),100,13,13,0.8125,0.208,50.07,0.3535,0.583,45.18,0.3189,2.39,0.4485,0.4485,True,0.6105,0.6105
16,4,23,3,K.d.A. SCHÜTZEN.,45,14,14,0.875,0.186,40.22,0.284,0.465,40.22,0.284,0.61,0.4466,0.9925,False,0.5725,1.2721
17,262,11,203,NAVY SEALS,90,9,9,0.5625,0.35,56.6,0.3995,0.723,85.41,0.6029,5.4,0.4343,0.4826,True,0.6428,0.7142
18,242,8,147,GURKHA RIFLES,85,12,12,0.75,0.222,48.8,0.3445,0.698,57.41,0.4053,4.49,0.4311,0.5072,True,0.6574,0.7735
19,21,31,29,REZERWISCI (SVD),55,12,12,0.75,0.205,53.51,0.3778,0.462,41.84,0.2954,1.6,0.4302,0.7822,False,0.5296,0.9629
20,108,7,32,NIEBIESKIE BERETY,70,12,12,0.75,0.226,45.05,0.318,0.712,52.99,0.3741,1.57,0.4279,0.6113,True,0.6579,0.9398
21,70,25,75,RANGERS (DRAGON),65,9,9,0.5625,0.343,54.29,0.3833,0.606,63.88,0.4509,2.4,0.4278,0.6581,True,0.5597,0.8611
22,40,26,38,RANGERS (LAW),60,9,9,0.5625,0.343,54.29,0.3833,0.606,63.88,0.4509,3.01,0.4278,0.7129,True,0.5597,0.9328
23,82,13,31,VÝSADKÁŘI,65,10,10,0.625,0.295,46.37,0.3274,0.727,54.56,0.3852,2.86,0.4169,0.6414,True,0.623,0.9584
24,2,41,4,R.A.F. BERLIN,40,12,12,0.75,0.197,45.76,0.323,0.401,45.76,0.323,2.17,0.4157,1.0392,False,0.5074,1.2684
25,260,28,271,CRAP,85,10,10,0.625,0.261,52.55,0.371,0.569,45.35,0.3202,2.38,0.4105,0.4829,True,0.5387,0.6338
26,148,37,192,AIRMOBILE TERRIERS,70,12,12,0.75,0.197,41.76,0.2948,0.419,41.76,0.2948,1.8,0.4103,0.5862,False,0.5102,0.7288
27,17,30,16,REZERWISCI,50,12,12,0.75,0.191,41.72,0.2945,0.477,41.72,0.2945,1.46,0.4073,0.8146,False,0.5363,1.0725
28,18,65,33,HJV,50,12,12,0.75,0.171,47.06,0.3322,0.349,35.39,0.2499,2.17,0.4059,0.8118,False,0.4695,0.9391
29,307,32,308,SAS,100,8,8,0.5,0.345,52.21,0.3686,0.593,61.43,0.4337,5.4,0.4042,0.4042,True,0.5287,0.5287
